"","time","datacount","interval","activity","cumulativesteps","methrs"
"244",2019-04-11 12:35:44,453456,13.4,1,216,0.00521111111111111
"245",2019-04-11 12:35:57,453590,28,0,216,0.00972222222222222
"246",2019-04-11 12:36:25,453870,26.5,1,216,0.0103055555555556
"247",2019-04-11 12:36:52,454135,13.4,0,216,0.00465277777777778
"248",2019-04-11 12:37:05,454269,1.1,1,216,0.000427777777777778
"249",2019-04-11 12:37:07,454280,2.4,2,218,0.00165555555555556
"250",2019-04-11 12:37:09,454304,55.7,1,218,0.0216611111111111
"251",2019-04-11 12:38:05,454861,5,2,220,0.00266666666666667
"252",2019-04-11 12:38:10,454911,64.4,1,220,0.0250444444444444
"253",2019-04-11 12:39:14,455555,5.5,2,222,0.00286111111111111
"254",2019-04-11 12:39:19,455610,77.5,1,222,0.0301388888888889
"255",2019-04-11 12:40:37,456385,2,2,224,0.0015
"256",2019-04-11 12:40:39,456405,50.9,1,224,0.0197944444444444
"257",2019-04-11 12:41:30,456914,4.4,2,226,0.00243333333333333
"258",2019-04-11 12:41:34,456958,14.4,1,226,0.0056
"259",2019-04-11 12:41:49,457102,10.3,0,226,0.00357638888888889
"260",2019-04-11 12:41:59,457205,13.2,1,226,0.00513333333333333
"261",2019-04-11 12:42:12,457337,4.6,2,228,0.00251111111111111
"262",2019-04-11 12:42:17,457383,14.2,1,228,0.00552222222222222
"263",2019-04-11 12:42:31,457525,5,2,230,0.00266666666666667
"264",2019-04-11 12:42:36,457575,85.5,1,230,0.03325
"265",2019-04-11 12:44:01,458430,5.1,2,232,0.00270555555555556
"266",2019-04-11 12:44:07,458481,15.7,1,232,0.00610555555555556
"267",2019-04-11 12:44:22,458638,5.8,2,234,0.00297777777777778
"268",2019-04-11 12:44:28,458696,2.3,2,236,0.00161666666666667
"269",2019-04-11 12:44:30,458719,34.2,1,236,0.0133
"270",2019-04-11 12:45:05,459061,5,2,238,0.00266666666666667
"271",2019-04-11 12:45:10,459111,1.4,2,240,0.00126666666666667
"272",2019-04-11 12:45:11,459125,4.8,2,242,0.00258888888888889
"273",2019-04-11 12:45:16,459173,48.1,1,242,0.0187055555555556
"274",2019-04-11 12:46:04,459654,3.1,2,244,0.00192777777777778
"275",2019-04-11 12:46:07,459685,32.1,1,244,0.0124833333333333
"276",2019-04-11 12:46:39,460006,12.7,0,244,0.00440972222222222
"277",2019-04-11 12:46:52,460133,11.1,1,244,0.00431666666666667
"278",2019-04-11 12:47:03,460244,5.5,2,246,0.00286111111111111
"279",2019-04-11 12:47:08,460299,3.7,2,248,0.00216111111111111
"280",2019-04-11 12:47:12,460336,32.5,1,248,0.0126388888888889
"281",2019-04-11 12:47:45,460661,4.9,2,250,0.00262777777777778
"282",2019-04-11 12:47:50,460710,6.9,1,250,0.00268333333333333
"283",2019-04-11 12:47:56,460779,663,0,250,0.230208333333333
"284",2019-04-11 12:58:59,467409,138.1,1,250,0.0537055555555555
"285",2019-04-11 13:01:17,468790,28.5,0,250,0.00989583333333333
"286",2019-04-11 13:01:46,469075,13.2,1,250,0.00513333333333333
"287",2019-04-11 13:01:59,469207,1.8,2,252,0.00142222222222222
"288",2019-04-11 13:02:01,469225,4.1,2,254,0.00231666666666667
"289",2019-04-11 13:02:05,469266,52.6,1,254,0.0204555555555556
"290",2019-04-11 13:02:58,469792,2.6,2,256,0.00173333333333333
